P_W,V_mm_min,absorptivity_pct,source
80,200,8.0,Fig9_estimated
80,400,8.0,Fig9_estimated
80,600,8.0,Fig9_estimated
100,200,19.0,Fig9_estimated
100,400,13.5,Fig9_estimated
100,600,13.0,Fig9_estimated
120,200,21.8,Fig9_estimated
120,400,20.5,Fig9_estimated
120,600,20.0,Fig9_estimated
150,200,30.0,Fig9_estimated
150,400,23.5,Fig9_estimated
150,600,23.0,Fig9_estimated
92,408,12.0,Table3_exact
111,304,16.4,Table3_exact
125,510,18.5,Table3_exact
114,323,17.0,Table3_exact
145,568,23.0,Table3_exact
117,584,16.0,Table3_exact
120,430,17.5,Table3_exact
92,441,11.0,Table3_exact
103,233,15.2,Table3_exact
